address,id,balance
bitcoinpubkey_4104A5ED7CA6B78732C9B5E82F1A9EE81F4279DFA0BBED82B34FA7145BF067FD97E9D298F70E8E7FE90F09CAE0D887A084A0B0E451CC70B14878DC798A1035BE94C6,20228774,721132548000000
bitcoinaddress_2EFF653F47E6DDFE823998FA844EEF9D0038BF8D,233062975,622046795199346
bitcoinaddress_144A16FF6ED85F196B9E5AB80CE63276EFF16BB1,269331792,549762969877663
bitcoinaddress_A0C333DEFCBDECD91846DC82922EDC295C3C17D4,153734810,503939960000000
bitcoinaddress_F863BDF71473080FC669D8608176804741CA3D61,855386884,475000000000000
bitcoinpubkey_4104E54CB303BE4F96957DBFCB9D64311AD8BBEA283BFC4A8DEB6ABD24C798267E8FA09E6BE6DFA8BB3C8A6489B5581126CF1CFAC0614818AE5308E853710DCD660B,330229283,474000000000000
bitcoinaddress_B412D845C3C8110684FF482346D827CA7B8E52D8,719308409,448500000000000
bitcoinaddress_D25D30D8A32761F28C790D5DD467218A68D50994,439781825,444182218270016
bitcoinaddress_F03AE2BA76CA642A7F073BD6AAD526D57531AEA1,694774189,386311205032597
bitcoinaddress_DD49D2CADBA3A0D5F6ED76B2D7A64D7ED542D72A,65953939,375666182000000
bitcoinaddress_5B5A8669669294FCFEB009715A14F3E8B6578DC1,626648653,373887181818178
bitcoinaddress_69FB0E1E80EFC7444C96BB3EC0C449D75DCB3F38,755063762,363822946549072
bitcoinaddress_54B2E004DE80FC1770670C5F49263D7EDF635CAA,463280961,362786716843151
bitcoinaddress_0FED4F248D2B97942E157DE90070FD4C0D574807,841688292,361515321047272
bitcoinaddress_DB392BBE4ADDEF147A889F70C622756D94D2D2F2,736045297,354400000000000
bitcoinaddress_5B2E52796C736618A98E566DCA834B6926C78306,302116097,348000000000000
bitcoinaddress_D619E230C4E77BA33F8DCD8B2814DACD060DB448,777898373,339667964000000
bitcoinaddress_3CC83F73F0824F6B220EE53267446C9D286B5A56,578799769,337000506559277
bitcoinaddress_95AED88D3D423579C237F03A1DB91A9B452ADE7D,261817754,313000000000000
bitcoinaddress_7CF79CC3DEDE18533BC9B6A6E30B26A3C3C70B31,682612852,312837094053424
bitcoinaddress_87AB8921239851140F8FB7A55EF862B49081B16E,268991841,304900696969694
bitcoinaddress_BA719365435117B92A4492E086057ADE4E80047B,80045116,277836363636356
bitcoinaddress_A332283154AEB32F69B749BEC3A81B9034397087,26803818,264989154728090
bitcoinaddress_4D8428CFEEA459432DC6E024FBA2056FE469941B,508528942,243304889000000
bitcoinaddress_B12CF7D52F5384A83AC96D3188091DE78211518E,691241749,240208326000000
bitcoinaddress_9984954E1678518A374B7ED09163503DE28692D8,554760457,239860689543240
bitcoinaddress_54065F8119E98F29E07386648161502822CD3A72,779498781,237602400710800
bitcoinaddress_43F44A45FD928B9CCD23E9706706ED3B8F9DDE5F,518042545,231410600000000
bitcoinaddress_D5982A7369CCE1CAD31D69D86A7D7A9D09F37115,222136022,230947600000000
bitcoinaddress_842645F9558E4D058BE69DD43B0C80F26072DC79,224287413,220305776753023
bitcoinaddress_C080088FB72922D89FACBC46309F06CA7F13590B,725478420,218724625000000
bitcoinaddress_6FEEE968BF043B8B9FC98F31A1EC94263BAA7560,411046438,212233651135150
bitcoinaddress_73373C02C88E3C5661A965607F812963AC87EB3C,150581061,210597011742230
bitcoinaddress_8957D28F2C5A8A1FA9885695C37D51F8ED28C39F,586669333,209904500000000
bitcoinaddress_F5603DAA13F122571DA31E36C6B1BB6DF7D9607B,425052358,208802400000000
bitcoinaddress_FD20B975833A6D50943D6D673963D2E3C808C04D,477169592,208542506261818
bitcoinaddress_9DEB841DCF2571372622D81FCC87A7C56CA86353,262492210,208254702000000
bitcoinaddress_176292FDE09D74F64B0B04677772F13C7C8946DC,613229832,203851095029221
bitcoinaddress_AEBB877D72269A5C7DC3774755403A9FC10EFB19,648188180,202640091000000
bitcoinaddress_E02B0C55E41ECAF37FF88107077219B824704C34,357036095,202480740560126
bitcoinaddress_0AAE7DB74E61ABB93E59C51A5C8DFB8A57977F8E,479632524,201047166128761
bitcoinaddress_C55FFBC7CC7E617BC00D3523E5D242C77E620C74,96313469,200540442000000
