id,address,pagerank
394321992,bitcoinaddress_95BD28AC696D354A58ED755EA013623FC808ACE7,4832.13848
472134131,bitcoinaddress_B59E762D0942056A49D95FE46D1E4847203045DD,4825.927609
877485008,bitcoinaddress_D0240FF3ABC07B7780ABACE5850975DC3798A170,4823.750202
584020002,bitcoinaddress_E51A8B00E342FE4DB10CBD5E1BD396A21A3A8E3C,4822.901217
61000522,bitcoinaddress_04D6E850653D23DA32E336785612B6CCC5E34784,4819.343695
307576375,bitcoinaddress_4DE26DDDB88932E7D12BA5F68B829D378A6BDB49,4818.234046
220507859,bitcoinaddress_06F1B66F5EBEBB8210118ADF449B99F2F7B97F16,4813.329373
673547807,bitcoinaddress_5BDEFC72B96D99C399D5EA93DAC81ABF7DEC1ECD,4802.196873
562496661,bitcoinaddress_35B26278680A8EE493744CB43183570568C81FE3,4802.022446
657243614,bitcoinaddress_3329E092CCD1832D262C5052266DED91FC5FA962,4801.148833
14889145,bitcoinaddress_0E6353728432723DC0F857694F5B9851EB0D8648,4800.438349
515889004,bitcoinaddress_3581BF5A77EBBC32E795AD40261FD718D5A0B1A2,4795.860654
387032332,bitcoinaddress_593095596D51F6A97E28529D0658BD04EB161ED1,4791.992244
252609404,bitcoinaddress_34DD167A57E27551F1304F28459CC134C06590F5,4790.177697
86047311,bitcoinaddress_231EAA596EF11E796966FD829350DEFD5C7EDC07,4783.27182
81363806,bitcoinaddress_2AC88FB35BD7C2BC42BAE1F60346CD18A773BAE2,4775.043529
57284192,bitcoinaddress_BB3AE2A5B6CD3CE97A627C70395D2BC52A69DD56,4774.487904
586184757,bitcoinaddress_8CAF2518F5BB3225D95A62037109F18E7F2D322B,4771.361973
239804148,bitcoinaddress_AD4C20D5B1956015EA626F02AFDAEBE8ED17E1A8,4759.586551
834278947,bitcoinaddress_45D906FDC235C3FFB40ACB4831A509E5BAC4092C,4755.152567
697602757,bitcoinaddress_76EA0414B7C8B672C7FC27BD02AA590BB968E36E,4752.730109
122872663,bitcoinaddress_F8792403D21CA8ED44201361E2996E3055B9622C,4740.605071
513202708,bitcoinaddress_E8C753E1D147DC1594F60033239D982E9E373A41,4732.161172
354150780,bitcoinaddress_DFAB45164C45E16F021E083DB1805C97A5D04C8A,4731.262301
282928879,bitcoinaddress_0D2C815E3ACA96576569AA62D5FD06AD1116A5D7,4729.505947
368712246,bitcoinaddress_B4F5B5A9E5119D3F0327D4FF64A1B0A97FC423D9,4726.540662
178237173,bitcoinaddress_B77DFCEB3ED0EA232E4B47AEB3EE3F2179D19384,4726.53794
7376569,bitcoinaddress_19034A421BF9F6A14657F39C806944D3E197D1CF,4708.839314
23610553,bitcoinaddress_74845C644E2BB37137E7B02F1A86A07480431F02,4708.692445
437373814,bitcoinaddress_1D811176562C8291A1C481AF63B9B0460F9539FE,4698.911662
535560627,bitcoinaddress_6999A9826E7F5B90E4F4A3AC5FB6CDFA32D39422,4697.591545
42488674,bitcoinaddress_528A835115E87CEB919CD77AEBA08EB684E62B09,4694.367963
110852747,bitcoinaddress_220AFF37D2665794BFC25DB189633BF7042B650D,4686.318226
142357523,bitcoinaddress_B59CD5A89A456AC7DBCB3A4B54DE1DF958C3D412,4677.708413
313938156,bitcoinaddress_539758E1FC692D5255C1585900ED75736FDB2523,4673.678942
306475655,bitcoinaddress_D106DFB4422C85C916BE6FE2106385B453FAEE69,4673.445097
863841846,bitcoinaddress_C2EA0FCC529F67CF68A20CB0F373ED88482F7D52,4670.77371
448700989,bitcoinaddress_06F1B66EBBC7A866947EE65779B23EDF190D430A,4325.303225
601332433,bitcoinaddress_235547D12C50E79DC364BF4305FD26B2036AE0D1,4206.26288
803280122,bitcoinaddress_740ECAF436D5867903C722D783FC994C25A29B15,4204.909693
346617206,bitcoinaddress_06F1B66E8E95765789598C8A5089F535CFC7C6EF,4200.461031
452789207,bitcoinaddress_72A5702EFB2431ABEFAC89AB68A80C4D1D460F23,3998.458864
337477295,bitcoinaddress_23507572D6DB4000E2E6701D92CCC6691E484B61,3989.451154
43638346,bitcoinaddress_ABA8AA7512494ADBEC830AEF907873A19F4F759E,3973.891969
